week_id,target_name,target_tier,target_type,contact_url,owner,pitch_template,hook_angle,primary_report_url,supporting_city_or_topic_url,stage,sent_at,followup_1_at,followup_2_at,replied_at,published_at,published_url,link_type,anchor_text,cqs,notes
2026-W25,Xtra Magazine,P2,LGBTQ media,https://xtramagazine.com/contact,owner_a,Template D,Queer travel safety source for city reporting,https://www.queeratlas.app/now,https://www.queeratlas.app/reports/safest-queer-cities-2026,prospect,,2026-06-23,2026-06-30,,,,unknown,Queer Atlas queer safety index,,New target; Canada/global queer news angle.
2026-W25,Bay Area Reporter,P2,Regional LGBTQ media,https://www.ebar.com/contact,owner_b,Template H,San Francisco and global queer city comparison angle,https://www.queeratlas.app/reports/queer-nightlife-index-2026,https://www.queeratlas.app/san_francisco,prospect,,2026-06-23,2026-06-30,,,,unknown,Queer Atlas San Francisco guide,,New target; local + global data comparison.
2026-W25,QNotes Carolinas,P2,Regional LGBTQ media,https://qnotescarolinas.com/contact/,owner_b,Template H,Regional LGBTQ travel resource for city guides,https://www.queeratlas.app/cities,https://www.queeratlas.app/queer-guide,prospect,,2026-06-23,2026-06-30,,,,unknown,Queer Atlas city guides,,New target; resource pitch.
2026-W25,Dallas Voice,P2,Regional LGBTQ media,https://dallasvoice.com/contact/,owner_b,Template H,Dallas guide and national queer nightlife ranking angle,https://www.queeratlas.app/reports/queer-nightlife-index-2026,https://www.queeratlas.app/dallas,prospect,,2026-06-23,2026-06-30,,,,unknown,Queer Atlas Dallas guide,,New target; local evidence page.
2026-W25,Georgia Voice,P2,Regional LGBTQ media,https://thegavoice.com/contact/,owner_b,Template H,Atlanta guide and safe queer nightlife resource,https://www.queeratlas.app/reports/safest-queer-cities-2026,https://www.queeratlas.app/atlanta,prospect,,2026-06-23,2026-06-30,,,,unknown,Queer Atlas Atlanta guide,,New target; local evidence page.
2026-W25,Windy City Times,P2,Regional LGBTQ media,https://windycitytimes.com/contact/,owner_b,Template H,Chicago guide plus queer nightlife index source,https://www.queeratlas.app/reports/queer-nightlife-index-2026,https://www.queeratlas.app/chicago,prospect,,2026-06-23,2026-06-30,,,,unknown,Queer Atlas Chicago guide,,New target; local evidence page.
2026-W25,Metro Weekly,P2,Regional LGBTQ media,https://www.metroweekly.com/contact/,owner_b,Template H,DC queer travel and nightlife resource,https://www.queeratlas.app/cities,https://www.queeratlas.app/washington_dc,prospect,,2026-06-23,2026-06-30,,,,unknown,Queer Atlas Washington DC guide,,New target; local evidence page.
2026-W25,Tagg Magazine,P2,LGBTQ women's media,https://taggmagazine.com/contact/,owner_a,Template G,Sapphic city route and safer nightlife resource,https://www.queeratlas.app/reports/safest-queer-cities-2026,https://www.queeratlas.app/topics/community,prospect,,2026-06-23,2026-06-30,,,,unknown,Queer Atlas safer queer cities,,New target; women/community angle.
2026-W25,GCN Ireland,P2,LGBTQ media,https://gcn.ie/contact/,owner_a,Template D,European queer city safety and events source,https://www.queeratlas.app/reports/global-queer-event-report-2026,https://www.queeratlas.app/dublin,prospect,,2026-06-23,2026-06-30,,,,unknown,Queer Atlas global queer event report,,New target; European relevance.
2026-W25,Travel + Leisure,P3,Mainstream travel media,https://www.travelandleisure.com/about-us,owner_c,Template I,Data source for inclusive city travel trend,https://www.queeratlas.app/reports/top-lgbtq-nightlife-destinations-2026,https://www.queeratlas.app/queer-guide,prospect,,2026-06-23,2026-06-30,,,,unknown,Queer Atlas LGBTQ nightlife destinations,,New target; high authority, lower response chance.
2026-W25,AFAR,P3,Mainstream travel media,https://www.afar.com/about,owner_c,Template I,Responsible queer travel planning source,https://www.queeratlas.app/queer-guide,https://www.queeratlas.app/reports/safest-queer-cities-2026,prospect,,2026-06-23,2026-06-30,,,,unknown,Queer Atlas queer travel guide,,New target; values-aligned travel pitch.
2026-W25,Matador Network,P3,Mainstream travel media,https://matadornetwork.com/content/contact-us/,owner_c,Template I,City nightlife trend with LGBTQ safety context,https://www.queeratlas.app/reports/queer-nightlife-index-2026,https://www.queeratlas.app/cities,prospect,,2026-06-23,2026-06-30,,,,unknown,Queer Atlas nightlife index,,New target; trend/source pitch.
2026-W25,Fodor's Travel,P3,Mainstream travel guide,https://www.fodors.com/contact-us,owner_c,Template I,Inclusive travel resource for city guide updates,https://www.queeratlas.app/cities,https://www.queeratlas.app/queer-guide,prospect,,2026-06-23,2026-06-30,,,,unknown,Queer Atlas LGBTQ city guides,,New target; resource/update suggestion.
2026-W25,Frommer's,P3,Mainstream travel guide,https://www.frommers.com/contact-us,owner_c,Template I,LGBTQ travel safety context for destination updates,https://www.queeratlas.app/queer-guide,https://www.queeratlas.app/now,prospect,,2026-06-23,2026-06-30,,,,unknown,Queer Atlas LGBTQ travel safety,,New target; destination update angle.
2026-W25,Rough Guides,P3,Mainstream travel guide,https://www.roughguides.com/contact/,owner_c,Template I,Queer travel and city-route source for guide refreshes,https://www.queeratlas.app/cities,https://www.queeratlas.app/reports/global-queer-event-report-2026,prospect,,2026-06-23,2026-06-30,,,,unknown,Queer Atlas city guides,,New target; guide-refresh angle.
2026-W25,The Points Guy,P3,Mainstream travel media,https://thepointsguy.com/contact-us/,owner_c,Template I,Queer city destination data for travel planning coverage,https://www.queeratlas.app/reports/top-lgbtq-nightlife-destinations-2026,https://www.queeratlas.app/queer-guide,prospect,,2026-06-23,2026-06-30,,,,unknown,Queer Atlas LGBTQ travel report,,New target; travel planning/list angle.
